통계명 : 장래인구 출  처 : 통계청 2000~2012, 단위 : 천명,,,,,,,,,,,,,
대륙,국가,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 
남아메리카,페루,25862 ,26228 ,26579 ,26916 ,27242 ,27559 ,27866 ,28166 ,28463 ,28765 ,29077 ,29400 ,29734 
남아메리카,푸에르토리코,3814 ,3817 ,3813 ,3803 ,3792 ,3782 ,3773 ,3765 ,3759 ,3754 ,3749 ,3746 ,3743 
남아메리카,세인트루시아,157 ,159 ,160 ,162 ,164 ,165 ,167 ,169 ,171 ,172 ,174 ,176 ,178 
남아메리카,세인트빈센트그레나딘,108 ,108 ,108 ,108 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 
남아메리카,수리남,467 ,473 ,480 ,487 ,493 ,499 ,505 ,510 ,515 ,520 ,525 ,529 ,534 
남아메리카,트리니다드토바고,1292 ,1297 ,1302 ,1306 ,1311 ,1315 ,1320 ,1326 ,1331 ,1336 ,1341 ,1346 ,1351 
남아메리카,미국령버진아일랜드,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 ,109 
남아메리카,우루과이,3319 ,3325 ,3325 ,3323 ,3321 ,3323 ,3327 ,3336 ,3346 ,3357 ,3369 ,3380 ,3391 
남아메리카,베네수엘라,24348 ,24811 ,25273 ,25736 ,26200 ,26664 ,27129 ,27593 ,28057 ,28520 ,28980 ,29437 ,29891 
유럽,알바니아,3072 ,3077 ,3090 ,3107 ,3125 ,3142 ,3157 ,3170 ,3181 ,3193 ,3204 ,3216 ,3227 
유럽,오스트리아,8005 ,8038 ,8083 ,8134 ,8186 ,8232 ,8273 ,8310 ,8342 ,8370 ,8394 ,8413 ,8429 
유럽,벨라루스,10058 ,10010 ,9963 ,9918 ,9872 ,9825 ,9777 ,9728 ,9681 ,9636 ,9595 ,9559 ,9527 
유럽,벨기에,10176 ,10211 ,10254 ,10303 ,10357 ,10414 ,10475 ,10539 ,10602 ,10661 ,10712 ,10754 ,10788 
유럽,보스니아-헤르체고비나,3694 ,3748 ,3776 ,3783 ,3781 ,3781 ,3782 ,3779 ,3774 ,3768 ,3760 ,3752 ,3744 
유럽,불가리아,8006 ,7948 ,7893 ,7840 ,7789 ,7739 ,7690 ,7640 ,7591 ,7543 ,7494 ,7446 ,7398 
유럽,샤넬군도,145 ,146 ,147 ,147 ,148 ,149 ,150 ,151 ,152 ,153 ,153 ,154 ,154 
유럽,크로아티아,4506 ,4482 ,4466 ,4457 ,4450 ,4442 ,4434 ,4426 ,4418 ,4411 ,4403 ,4396 ,4387 
유럽,체코,10243 ,10226 ,10210 ,10199 ,10202 ,10221 ,10259 ,10314 ,10377 ,10440 ,10493 ,10534 ,10566 
유럽,덴마크,5340 ,5356 ,5371 ,5384 ,5400 ,5419 ,5443 ,5469 ,5497 ,5525 ,5550 ,5573 ,5593 
유럽,에스토니아,1371 ,1363 ,1357 ,1352 ,1348 ,1346 ,1344 ,1343 ,1342 ,1342 ,1341 ,1341 ,1340 
유럽,핀란드,5173 ,5185 ,5197 ,5211 ,5226 ,5244 ,5266 ,5290 ,5316 ,5342 ,5365 ,5385 ,5403 
유럽,프랑스,59048 ,59391 ,59775 ,60184 ,60597 ,60997 ,61378 ,61745 ,62098 ,62445 ,62787 ,63126 ,63458 
유럽,독일,82349 ,82384 ,82432 ,82484 ,82524 ,82541 ,82536 ,82516 ,82475 ,82405 ,82302 ,82163 ,81991 
유럽,그리스,10987 ,11032 ,11073 ,11111 ,11147 ,11183 ,11219 ,11256 ,11292 ,11327 ,11359 ,11390 ,11419 
유럽,헝가리,10211 ,10185 ,10159 ,10135 ,10110 ,10087 ,10064 ,10043 ,10022 ,10002 ,9984 ,9966 ,9950 
